"FIGURE HOME AND OFFICE FURNITURE TRADING","BLK 8 LOT17, SUHA ST.  MANGGA III, PINAGBUHATAN","RET RETAILER - FURNITURE","BLK 8 LOT17, SUHA ST.  MANGGA III","PINAGBUHATAN","14.5470121","121.1066047"
"H2O LIFE SOURCE PHILIPPINES INC.","BLK 9 KAMIAS ST. DONAVEL CMPD., NAGPAYONG 2, PINAGBUHATAN","ES3 ESSENTIAL COMMODITIES","BLK 9 KAMIAS ST. DONAVEL CMPD., NAGPAYONG 2","PINAGBUHATAN","14.5512707","121.1052864"
"JC DE GUZMAN DE-SIGN CONSTRUCTION FINISHING SERVICES","BLK-12 LOT-1&2, CHICO ST. MANGGA III NAGPAYONG 1, PINAGBUHATAN","SER SERVICES","BLK-12 LOT-1&2, CHICO ST. MANGGA III NAGPAYONG 1","PINAGBUHATAN","14.5453574","121.0976494"
"318 HOME FURNISHING SUPPLIES TRADING","BLK-7 L-2 MEGAVILLE KENNETH RD. NAGPAYONG 2, PINAGBUHATAN","RET RETAILER","BLK-7 L-2 MEGAVILLE KENNETH RD. NAGPAYONG 2","PINAGBUHATAN","14.5453574","121.0976494"
"JUN & HAP SARI-SARI STORE","BLK-9 LOT-2 KALAYAAN ST., KENNETH NAGPAYONG, PINAGBUHATAN","ES3 ESSENTIAL COMMODITIES - RETAILER; RET MINI GROCERY","BLK-9 LOT-2 KALAYAAN ST., KENNETH NAGPAYONG","PINAGBUHATAN","14.5394012","121.1049506"
"JPLANIE`S BAKERY","BLK. 1 LOT 1 ST. CENT. 2A, NAGPAYONG I, PINAGBUHATAN","SSM BAKE SHOP","BLK. 1 LOT 1 ST. CENT. 2A, NAGPAYONG I","PINAGBUHATAN","14.5453574","121.0976494"
"KAYA MICROLENDING CORPORATION","BLK. 1 LOT 2, 2ND STREET, GOLDEN HOMES, PINAGBUHATAN","IN6 LENDING","BLK. 1 LOT 2, 2ND STREET, GOLDEN HOMES","PINAGBUHATAN","14.553082","121.0982317"
"SAMCUTE LOGISTICS SERVICES","BLK. 1 LOT 2, PINALAD ROAD ST. CENTENNIAL 2 NAGPAYONG 1, PINAGBUHATAN","SER LOGISTIC SERVICES","BLK. 1 LOT 2, PINALAD ROAD ST. CENTENNIAL 2 NAGPAYONG 1","PINAGBUHATAN","14.5436845","121.101382"
"JOHN-ALEXA TRUCKING SERVICES","BLK. 1 LOT29, MOLAVE ST.,RIVERVILLE HOA, PINAGBUHATAN","SER TRUCKING SERVICES","BLK. 1 LOT29, MOLAVE ST.,RIVERVILLE HOA","PINAGBUHATAN","14.5437549","121.103602"
"GLORY'S FRUIT AND VEGETABLE TRADING","BLK. 1, LOT 13 LIBRA ST., NAGPAYONG, PINAGBUHATAN","ES3 ESSENTIAL COMMODITIES","BLK. 1, LOT 13 LIBRA ST., NAGPAYONG","PINAGBUHATAN","14.5493464","121.099429"
"FVR SARI-SARI STORE","BLK. 1, LOT 27 EAGLE ST.  COR., KINGFISHER ST. CENT.2 SUNRISE NAGPAYONG, PINAGBUHATAN","SAR SARI-SARI STORE","BLK. 1, LOT 27 EAGLE ST.  COR., KINGFISHER ST. CENT.2 SUNRISE NAGPAYONG","PINAGBUHATAN","14.5493464","121.099429"
"RAIJEN CONSTRUCTION SUPPLY","BLK. 10, LOT 6 KALAYAAN ST., EUSEBIO AVE. NAGPAYONG 2, PINAGBUHATAN","RET HARDWARE","BLK. 10, LOT 6 KALAYAAN ST., EUSEBIO AVE. NAGPAYONG 2","PINAGBUHATAN","14.5374925","121.1047468"
"JMP ABESAMIS OPTICAL CO.","BLK. 11, BOHOL ST. COR. EUSEBIO AVE. NAGPAYONG, PINAGBUHATAN","SER OPTICAL CLINIC","BLK. 11, BOHOL ST. COR. EUSEBIO AVE. NAGPAYONG","PINAGBUHATAN","14.4555541","121.0001462"
"ENGO, SALVACION D.","BLK. 14 EUSEBIO AVE., PINAGBUHATAN","APT LESSOR COMMERCIAL SPACE","BLK. 14 EUSEBIO AVE.","PINAGBUHATAN","14.5414085","121.1054685"
"FRAS TRADING AND ALLIED SERVICES CO.","BLK. 15 LOT 5 DILANG 2, NAGPAYONG, PINAGBUHATAN","RET TRADING OF ELECTRICAL; SER SERVICES","BLK. 15 LOT 5 DILANG 2, NAGPAYONG","PINAGBUHATAN","14.5467702","121.1077926"
